Series_reference,Period,Data_value,STATUS,UNITS,MAGNTUDE,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
GFSA.SGS01G01Z90,2009.06,3175,REVISED,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Net Balances",Net operating balance,,,,
GFSA.SGS01G01Z90,2010.06,-3132,REVISED,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Net Balances",Net operating balance,,,,
GFSA.SGS01G01Z90,2011.06,-13276,REVISED,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Net Balances",Net operating balance,,,,
GFSA.SGS01G01Z90,2012.06,-3549,REVISED,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Net Balances",Net operating balance,,,,
GFSA.SGS01G01Z90,2013.06,-669,REVISED,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Net Balances",Net operating balance,,,,
GFSA.SGS01G01Z90,2014.06,1490,REVISED,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Net Balances",Net operating balance,,,,
GFSA.SGS01G01Z90,2015.06,4070,REVISED,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Net Balances",Net operating balance,,,,
GFSA.SGS01G01Z90,2016.06,5785,REVISED,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Net Balances",Net operating balance,,,,
GFSA.SGS01G01Z90,2017.06,7727,REVISED,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Net Balances",Net operating balance,,,,
GFSA.SGS01G01Z90,2018.06,8177,PROVISIONAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Net Balances",Net operating balance,,,,
GFSA.SGS01G01Z91,2009.06,-665,REVISED,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Net Balances",Net lending/borrowing,,,,
GFSA.SGS01G01Z91,2010.06,-6762,REVISED,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Net Balances",Net lending/borrowing,,,,
GFSA.SGS01G01Z91,2011.06,-15344,REVISED,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Net Balances",Net lending/borrowing,,,,
GFSA.SGS01G01Z91,2012.06,-5781,REVISED,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Net Balances",Net lending/borrowing,,,,
GFSA.SGS01G01Z91,2013.06,-4130,REVISED,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Net Balances",Net lending/borrowing,,,,
GFSA.SGS01G01Z91,2014.06,-2215,REVISED,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Net Balances",Net lending/borrowing,,,,
GFSA.SGS01G01Z91,2015.06,-331,REVISED,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Net Balances",Net lending/borrowing,,,,
GFSA.SGS01G01Z91,2016.06,1418,REVISED,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Net Balances",Net lending/borrowing,,,,
GFSA.SGS01G01Z91,2017.06,3297,REVISED,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Net Balances",Net lending/borrowing,,,,
GFSA.SGS01G01Z91,2018.06,3166,PROVISIONAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Net Balances",Net lending/borrowing,,,,
GFSA.SGS01G02121,2009.06,2278,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Social security contributions,,,,
GFSA.SGS01G02121,2010.06,2523,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Social security contributions,,,,
GFSA.SGS01G02121,2011.06,2745,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Social security contributions,,,,
GFSA.SGS01G02121,2012.06,2782,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Social security contributions,,,,
GFSA.SGS01G02121,2013.06,2514,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Social security contributions,,,,
GFSA.SGS01G02121,2014.06,2618,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Social security contributions,,,,
GFSA.SGS01G02121,2015.06,2392,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Social security contributions,,,,
GFSA.SGS01G02121,2016.06,2049,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Social security contributions,,,,
GFSA.SGS01G02121,2017.06,2063,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Social security contributions,,,,
GFSA.SGS01G02121,2018.06,1992,PROVISIONAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Social security contributions,,,,
GFSA.SGS01G02140,2009.06,1287,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Other income,,,,
GFSA.SGS01G02140,2010.06,1163,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Other income,,,,
GFSA.SGS01G02140,2011.06,5334,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Other income,,,,
GFSA.SGS01G02140,2012.06,1633,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Other income,,,,
GFSA.SGS01G02140,2013.06,1207,REVISED,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Other income,,,,
GFSA.SGS01G02140,2014.06,1194,REVISED,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Other income,,,,
GFSA.SGS01G02140,2015.06,1191,REVISED,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Other income,,,,
GFSA.SGS01G02140,2016.06,1017,REVISED,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Other income,,,,
GFSA.SGS01G02140,2017.06,1099,REVISED,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Other income,,,,
GFSA.SGS01G02140,2018.06,1341,PROVISIONAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Other income,,,,
