Series_reference,Period,Data_value,Suppressed,Status,Units,Magnitude,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
BASQ.SA020002A1A,2014.12,971913,n,F,Dollar,3,Building Activity Survey - BAS,Building activity by region,Auckland Region,All buildings,New,Value,Actual
BASQ.SA020002A1A,2015.03,917927,n,F,Dollar,3,Building Activity Survey - BAS,Building activity by region,Auckland Region,All buildings,New,Value,Actual
BASQ.SA020002A1A,2015.06,968004,n,F,Dollar,3,Building Activity Survey - BAS,Building activity by region,Auckland Region,All buildings,New,Value,Actual
BASQ.SA020002A1A,2015.09,1044892,n,F,Dollar,3,Building Activity Survey - BAS,Building activity by region,Auckland Region,All buildings,New,Value,Actual
BASQ.SA020002A1A,2015.12,1099228,n,F,Dollar,3,Building Activity Survey - BAS,Building activity by region,Auckland Region,All buildings,New,Value,Actual
BASQ.SA020002A1A,2016.03,1179227,n,F,Dollar,3,Building Activity Survey - BAS,Building activity by region,Auckland Region,All buildings,New,Value,Actual
BASQ.SA020002A1A,2016.06,1417579,n,F,Dollar,3,Building Activity Survey - BAS,Building activity by region,Auckland Region,All buildings,New,Value,Actual
BASQ.SA020002A1A,2016.09,1440984,n,F,Dollar,3,Building Activity Survey - BAS,Building activity by region,Auckland Region,All buildings,New,Value,Actual
BASQ.SA020002A1A,2016.12,1566568,n,F,Dollar,3,Building Activity Survey - BAS,Building activity by region,Auckland Region,All buildings,New,Value,Actual
BASQ.SA020002A1A,2017.03,1385106,n,F,Dollar,3,Building Activity Survey - BAS,Building activity by region,Auckland Region,All buildings,New,Value,Actual
BASQ.SA020002A1A,2017.06,1556998,n,F,Dollar,3,Building Activity Survey - BAS,Building activity by region,Auckland Region,All buildings,New,Value,Actual
BASQ.SA020002A1A,2017.09,1706915,n,F,Dollar,3,Building Activity Survey - BAS,Building activity by region,Auckland Region,All buildings,New,Value,Actual
BASQ.SA020002A1A,2017.12,1654679,n,F,Dollar,3,Building Activity Survey - BAS,Building activity by region,Auckland Region,All buildings,New,Value,Actual
BASQ.SA020002A1A,2018.03,1610517,n,F,Dollar,3,Building Activity Survey - BAS,Building activity by region,Auckland Region,All buildings,New,Value,Actual
BASQ.SA020002A1A,2018.06,1802973,n,F,Dollar,3,Building Activity Survey - BAS,Building activity by region,Auckland Region,All buildings,New,Value,Actual
BASQ.SA020002A1A,2018.09,1939272,n,F,Dollar,3,Building Activity Survey - BAS,Building activity by region,Auckland Region,All buildings,New,Value,Actual
BASQ.SA020002A1A,2018.12,2035206,n,F,Dollar,3,Building Activity Survey - BAS,Building activity by region,Auckland Region,All buildings,New,Value,Actual
BASQ.SA020002B1A,2014.12,329336,n,F,Dollar,3,Building Activity Survey - BAS,Building activity by region,Auckland Region,All buildings,Altered,Value,Actual
BASQ.SA020002B1A,2015.03,327883,n,F,Dollar,3,Building Activity Survey - BAS,Building activity by region,Auckland Region,All buildings,Altered,Value,Actual
